0,104
1,105
0,134
0,104
0,88
0,50
1,45
0,72
0,118
1,53
1,97
1,59
1,59
1,59
1,39
0,160
1,99
1,89
1,47
0,94
0,32
0,128
0,56
1,57
0,74
0,95
1,97
0,116
0,104
0,49
1,61
1,49
1,97
0,46
1,45
1,47
1,48
1,91
1,123
1,57
1,39
0,64
0,52
1,65
0,48
0,43
1,47
0,53
1,57
0,154
1,91
1,95
0,52
1,89
1,41
1,51
1,79
0,52
0,45
1,81
0,52
1,53
1,93
0,88
1,56
0,118
1,73
1,135
0,72
0,48
0,54
0,104
0,51
0,159
0,62
0,105
0,51
0,102
0,52
1,83
1,51
1,45
1,41
1,51
1,53
0,64
0,82
1,61
1,39
1,49
0,66
0,78
0,49
1,93
0,56
0,50
0,50
1,81
0,84
0,84
0,96
1,99
0,46
0,104
1,48
1,79
0,90
0,98
0,110
1,66
0,59
1,83
1,55
0,84
0,54
0,137
1,81
0,101
1,67
1,93
1,44
0,66
0,132
0,42
0,88
1,75
0,92
0,48
1,135
0,116
1,48
0,124
0,107
0,88
1,51
0,52
1,41
0,44
0,80
0,80
1,59
1,73
0,110
0,50
1,71
0,155
1,99
0,76
0,98
1,73
0,147
0,82
0,52
0,131
0,121
0,110
1,91
0,70
1,81
0,76
0,72
1,49
0,105
1,43
1,51
1,61
0,112
0,48
1,47
1,49
1,77
0,150
1,47
0,84
0,92
0,43
1,105
0,100
0,101
0,80
1,99
1,52
0,60
1,43
0,52
0,70
1,55
0,58
1,111
1,44
1,65
0,36
1,79
0,52
1,83
1,51
1,63
1,45
0,72
1,51
0,76
1,52
0,50
0,108
0,50
0,54
1,55
0,84
0,58
0,62
0,68
0,100
1,49
0,58
0,122
0,42
0,50
1,49
0,120
1,91
0,52
1,69
1,85
0,94
0,52
0,58
1,47
0,110
0,58
0,74
0,41
0,54
0,125
1,63
0,78
0,46
0,50
1,48
0,140
0,76
1,49
0,100
0,46
0,44
0,108
0,106
1,43
1,77
1,49
0,70
0,134
0,130
1,91
0,56
1,99
0,109
0,70
1,58
0,46
0,46
1,71
1,91
0,84
0,47
0,44
0,48
0,64
0,52
0,52
0,46
0,62
0,80
0,86
1,69
0,62
0,133
0,58
0,92
0,54
1,123
1,65
0,132
0,127
0,111
0,43
0,121
1,44
0,48
0,110
0,106
0,72
0,48
0,109
0,48
0,68
0,125
0,97
0,139
1,77
0,97
0,43
0,94
1,47
0,110
0,92
0,68
0,90
0,111
0,40
0,60
0,111
0,76
0,54
0,44
0,80
1,49
0,88
0,64
0,52
0,54
0,95
1,71
1,69
0,98
0,62
0,119
0,84
0,52
1,47
0,66
0,104
0,88
0,118
0,114
0,72
1,39
0,44
0,99
1,53
0,134
0,54
1,51
0,92
1,63
1,47
0,117
0,104
0,46
0,114
0,60
0,98
1,57
1,44
1,77
1,121
0,115
0,48
0,54
0,121
1,51
1,101
1,48
0,68
0,58
0,56
0,50
0,54
0,50
0,46
0,44
1,77
1,69
1,57
0,52
1,45
1,40
0,99
0,70
0,47
0,66
1,69
1,75
0,78
1,103
0,45
1,71
0,100
0,110
1,111
0,43
0,107
0,56
0,58
1,48
0,129
1,99
1,47
0,52
1,69
1,53
0,52
1,35
1,53
0,84
1,71
1,57
0,113
0,124
0,49
0,112
0,39
0,50
0,61
1,47
1,47
1,47
0,66
0,126
0,48
1,71
1,67
1,93
0,42
0,46
1,57
1,71
0,58
0,52
0,46
0,124
0,120
1,73
0,62
0,58
0,106
0,68
0,54
0,46
1,81
1,75
1,67
1,52
0,54
0,56
1,49
0,42
0,104
0,40
1,55
1,51
1,45
0,50
0,112
0,56
0,48
0,48
0,44
0,120
0,112
0,58
0,51
0,113
0,95
1,95
0,46
0,58
0,42
0,103
